INSPECCION,MATRICULA,F.MATRIC.,MARCA Y MODELO,BASTIDOR,GRUP,TIP,F,F.INSPEC.,L,I.1,M.1,I.2,M.2,I.3,M.3,I.4,M.4,RESUL.,F.VALIDEZ,DEFEC.
160844718/2016,4404-BBZ,26/10/2000,OPEL ZAFIRA A,W0L0TGF7512042879,1000,001,1,13/10/2016,1,MBM,14,MCG,12,REB,17,ELL,22,DF.LEV,13/10/2017,['0202-L']
160844719/2016,029490,22/11/2012,MERCEDES BENZ CL 500,WDD2163731A029490,1000,014,1,13/10/2016,1,MBM,14,VPS,12,VPS,17,VPS,22,FAVOR.,13/10/2018,['']
160844720/2016,M-9893-IZ,03/08/1988,MERCEDES-BENZ 500SE,WDB1260361A421044,1000,002,2,13/10/2016,1,MBM,999,REB,999,,,,,DF.LEV,13/10/2017,"['0406-L', '0407-L', '0901-L', '0904-L']"
160844721/2016,8328-CVK,27/04/2004,FIAT PUNTO 1.3JTD,ZFA18800002504131,3000,001,1,13/10/2016,1,MBM,14,MCG,12,REB,17,ELL,22,FAVOR.,13/04/2017,['']
160844722/2016,8708-BGJ,09/03/2001,SEAT IBIZA 19,VSSZZZ6KZ1R181096,1000,001,1,13/10/2016,1,MBM,14,MCG,12,REB,17,ELL,22,DESFA.,00/00/0000,"['0403-G', '0404-G', '0803-G', '0803-G']"
160844723/2016,M-4546-YB,13/08/1999,MAZDA 626,JMZGF14R201223335,1000,002,2,13/10/2016,1,MBM,999,,,,,,,FAVOR.,13/10/2017,['']
160844724/2016,107293,23/09/2013,VOLKSWAGEN GOLF,WVWZZZAUZEW107293,1002,014,1,13/10/2016,1,REB,14,VPS,12,VPS,17,VPS,22,FAVOR.,23/09/2017,['']
160844725/2016,9216-CFK,27/02/2003,HONDA XL1000V,VTMSD02A03E020036,0400,001,1,13/10/2016,1,MBM,14,MCG,18,MBM,13,,,FAVOR.,13/10/2018,['']
160844726/2016,2062-FCV,13/07/2006,PEUGEOT 407,VF36DRHRG21344913,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844727/2016,9366-GZF,27/10/2010,PEUGEOT PARTNER,VF37J9HTCAJ791351,3100,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,27/10/2017,['']
160844728/2016,ZA-8620-K,08/03/2000,PIAGGIO RUNNER,ZAPM0800000019492,0400,002,2,13/10/2016,1,MBM,999,ELL,999,,,,,FAVOR.,13/10/2018,['']
160844729/2016,M-9088-SG,24/03/1995,FORD FIESTA,VS6BXXWPFBRB40496,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844730/2016,7918-BJK,15/05/2001,CITROEN BERLINGO 1.9 D,VF7MFWJZF65629967,3100,002,2,13/10/2016,2,REB,999,,,,,,,DESFA.,00/00/0000,"['0103-L', '0209-L', '0301-G']"
160844731/2016,9529-FHC,31/10/2006,HYUNDAI ATOS PRIME,MALAC51HP6M866645,1000,001,1,13/10/2016,1,MBM,14,MCG,12,MCG,17,ELL,22,FAVOR.,31/10/2017,['']
160844732/2016,7487-BGJ,07/03/2001,VOLKSWAGEN POLO 1.4 TDI,WVWZZZ6NZ1Y239103,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DF.LEV,13/10/2017,['0103-L']
160844733/2016,3678-CFN,04/03/2003,RENAULT TRAFIC,VF1JLDCA63V166307,3100,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DF.LEV,13/04/2017,['0202-L']
160844734/2016,4344-FDF,24/07/2006,FIAT PANDA,ZFA16900000657335,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DESFA.,00/00/0000,['0803-G']
160844735/2016,1766-FGT,20/10/2006,SEAT IBIZA 1.9 TDI 4P,VSSZZZ6LZ7R072568,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,20/10/2017,['']
160844736/2016,9409-GYW,30/09/2010,PEUGEOT 308 5P,VF34C9HZCAY014026,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2018,['']
160844737/2016,M-4435-TJ,28/03/1996,MERCEDES BENZ 202018 (C1,WDB2020181A365296,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844738/2016,5263-GHK,11/09/2008,YAMAHA YZF-R6,JYARJ095000016247,0400,001,1,13/10/2016,1,MBM,14,MCG,18,MBM,13,,,DESFA.,00/00/0000,['0501-G']
160844739/2016,3896-FJC,30/11/2006,SEAT CORDOBA 1.9 TDI 4P,VSSZZZ6LZ7R076997,1000,001,1,13/10/2016,1,REB,14,MCG,12,VPS,17,ELL,22,FAVOR.,30/11/2017,['']
160844740/2016,TO-5247-Y,18/02/1997,RENAULT TRAFIC 900,VF1T1XF0515999913,2423,001,1,13/10/2016,1,REB,14,MCG,12,REB,17,ELL,22,DESFA.,00/00/0000,"['0601-G', '0901-L']"
160844741/2016,9995-DNN,29/07/2005,VOLKSWAGEN CADDY 1.9 TDI,WV2ZZZ2KZ6X008662,3100,001,1,13/10/2016,1,MBM,14,MCG,12,REB,17,ELL,22,DESFA.,00/00/0000,['0804-G']
160844742/2016,3230-GYK,25/08/2010,BMW F800R,WB1021703AZS46413,0400,001,1,13/10/2016,1,MBM,14,MCG,18,MBM,13,,,FAVOR.,13/10/2018,['']
160844743/2016,2032-DRM,11/10/2005,OPEL ASTRA SW,W0L0AHL3555247533,1000,001,1,13/10/2016,1,MBM,14,REB,12,REB,17,ELL,22,FAVOR.,13/10/2017,['']
160844744/2016,7418-GYY,07/10/2010,VOLKSWAGEN POLO,WVWZZZ6RZBY065278,1000,001,1,13/10/2016,1,MBM,14,REB,12,REB,17,ELL,22,FAVOR.,13/10/2018,['']
160844745/2016,TO-8316-AD,20/10/1999,VOLKSWAGEN PASSAT 1.9 TD,WVWZZZ3BZYP150542,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844746/2016,1421-GJB,17/10/2008,FIAT PUNTO,ZFA19900000345376,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2018,['']
160844747/2016,TO-3830-N,26/10/1989,FORD ORION,VS6FXXWPAFKC21658,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DF.LEV,13/10/2017,"['0212-L', '0601-L', '0901-L']"
160844748/2016,8838-GPW,30/09/2009,TOYOTA HILUX D-4D DOBLE,AHTFR22G006020366,2011,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844749/2016,6976-HMN,16/10/2012,OPEL CORSA,W0L0SDL08D6010463,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DF.LEV,13/10/2018,['0601-L']
160844750/2016,7099-CBM,30/10/2002,OPEL VECTRA C,W0L0ZCF6931013374,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844751/2016,8295-GRK,29/10/2009,OPEL INSIGNIA,W0LGS6EM8A1014357,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2018,['']
160844752/2016,1247-GZB,14/10/2010,HYUNDAI IX35,U5YZU81VCBL040145,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2018,['']
160844753/2016,1593-DNP,29/07/2005,VOLVO S40,YV1MS753152115719,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844754/2016,0060-CMP,03/10/2003,MERCEDES BENZ C 220 CDI,WDB2030081F480516,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844755/2016,8093-GJH,31/10/2008,PEUGEOT 308 SW,VF34H5FWC55352235,1002,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2018,['']
160844756/2016,8327-CXW,05/07/2004,SEAT IBIZA 1.9 TDI 2P,VSSZZZ6LZ5R008831,1000,001,1,13/10/2016,1,MBM,14,MCG,12,REB,17,ELL,22,FAVOR.,13/10/2017,['']
160844757/2016,9619-BLD,03/07/2001,PEUGEOT 307 5P,VF33CRHYB82044736,1000,001,1,13/10/2016,1,MBM,14,MCG,12,REB,17,ELL,22,FAVOR.,13/10/2017,['']
160844758/2016,7151-DHW,30/03/2005,ALFA ROMEO 166,ZAR93600000096429,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DESFA.,00/00/0000,['0503-G']
160844759/2016,M-0026-ZU,25/07/2000,VOLKSWAGEN POLO 1.4 TDI,WVWZZZ6NZ1Y014361,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DF.LEV,13/10/2017,['0903-L']
160844760/2016,3241-CXS,30/06/2004,SEAT IBIZA 1.9 TDI 4P,VSSZZZ6LZ4R144252,1000,002,2,13/10/2016,2,REB,999,,,,,,,FAVOR.,13/10/2017,['']
160844761/2016,TO-4673-X,01/03/1996,MITSUBISHI MONTERO C 2.8,JMB0NV260SJ005935,1033,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DF.LEV,13/10/2017,"['0803-L', '0901-L']"
160844762/2016,8981-DZY,30/05/2006,CITROEN XSARA PICASSO,VF7CH9HXC25804819,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844763/2016,4109-JTD,10/10/2016,NISSAN NAVARA,VSKCTND23U0036387,2011,005,1,13/10/2016,1,VPS,999,VPS,24,,,,,DESFA.,00/00/0000,"['0203-G', '1007-G']"
160844764/2016,NA-5167-AU,23/10/1997,TOYOTA CELICA,JT164ATL000077333,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DESFA.,00/00/0000,['0601-G']
160844765/2016,0919-GYV,27/09/2010,MINI ONE D,WMWSW11010TX97589,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2018,['']
160844766/2016,4874-GYT,24/09/2010,CITROEN NC5,VF7RDRHF8AL528741,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2018,['']
160844767/2016,4096-HGF,13/09/2011,FORD TRANSIT,WF0ZXXTTFZBD77972,2443,001,1,13/10/2016,2,MBM,14,MCG,16,VPS,17,ELL,21,DF.LEV,13/04/2017,['0901-L']
160844768/2016,3011-FFM,06/09/2006,HYUNDAI SANTA FE,KMHSH81WP6U043221,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,FAVOR.,13/10/2017,['']
160844769/2016,TO-8496-T,09/10/1992,RENAULT 19 1.4,VF1L53000R0002454,1000,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DF.LEV,13/10/2017,"['0703-L', '0901-L']"
160844770/2016,M-7049-NL,09/06/1992,CITROEN C-15 RD,VS7VDPG0058PG1355,3100,001,1,13/10/2016,1,MBM,14,MCG,12,VPS,17,ELL,22,DF.LEV,13/04/2017,"['0601-L', '0703-L', '0901-L']"
160844771/2016,0897-BMB,27/07/2001,SEAT TOLEDO 1.9 TDI 6V,VSSZZZ1MZ2B012053,1000,002,2,13/10/2016,1,MBM,999,,,,,,,DF.LEV,13/10/2017,"['0103-L', '0901-L', '0904-L']"
160844772/2016,ET96586,07/10/1996,NISSAN M-110.150,VWAM1126KSA383521,2111,001,1,14/10/2016,2,MBM,14,VPS,16,VPS,17,VPS,21,DF.LEV,14/04/2017,['0901-L']
160844773/2016,8173-CMS,10/10/2003,MERCEDES BENZ E220 CDI,WDB2110061A407046,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,DESFA.,00/00/0000,['0503-G']
160844774/2016,0311-CTG,18/03/2004,CITROEN XSARA PICASSO,VF7CHRHYB39702358,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,FAVOR.,14/10/2017,['']
160844775/2016,6059-CZV,10/09/2004,FORD FIESTA,WF0DXXGAJD4D27880,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,DESFA.,00/00/0000,"['0202-L', '0301-G', '0402-G', '0405-L', '0804-G']"
160844776/2016,9763-BNC,18/09/2001,SEAT IBIZA,VSSZZZ6KZ2R083526,1000,002,2,14/10/2016,1,MBM,999,,,,,,,FAVOR.,14/10/2017,['']
160844777/2016,TO-5315-AG,10/08/2000,MITSUBISHI MONTERO,JMBMYV68W1J001337,1033,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,FAVOR.,14/10/2017,['']
160844778/2016,8173-CMS,10/10/2003,MERCEDES BENZ E220 CDI,WDB2110061A407046,1000,002,2,14/10/2016,1,MBM,999,MBM,14,,,,,FAVOR.,14/10/2017,['']
160844779/2016,3968-CNK,03/11/2003,VOLKSWAGEN LT 35 2.5,WV1ZZZ2DZ4H004615,2420,001,1,14/10/2016,2,MBM,14,JHD,16,JHD,17,ELL,21,DESFA.,00/00/0000,"['0208-G', '0406-L', '0605-L', '0901-L']"
160844780/2016,2652-DRP,17/10/2005,KIA RIO,KNEDE221266014671,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,DF.LEV,14/10/2017,['0406-L']
160844781/2016,TO-72747-VE,27/06/1988,FIAT 80-66,823822,5000,002,2,14/10/2016,2,VPS,999,,,,,,,DF.LEV,14/10/2017,"['0401-L', '0704-L', '0901-L']"
160844782/2016,8085-BMY,07/09/2001,TOYOTA YARIS,JTDKW123103069041,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,DF.LEV,14/10/2017,['0202-L']
160844783/2016,TO-72747-VE,27/06/1988,FIAT 80-66,823822,5000,015,1,14/10/2016,2,VPS,999,,,,,,,DF.LEV,14/10/2017,"['0401-L', '0704-L', '0901-L']"
160844784/2016,M-2390-NG,10/04/1992,CITROEN AX 1.1 SIGNO,VS7ZAZB0090ZB8067,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,FAVOR.,14/10/2017,['']
160844785/2016,4109-JTD,10/10/2016,NISSAN NAVARA,VSKCTND23U0036387,2011,002,2,14/10/2016,1,VPS,999,,,,,,,DESFA.,00/00/0000,"['0203-G', '1007-G']"
160844786/2016,TO-4805-Z,05/11/1997,CITROEN C-15 D,VF7VDPG0012PG3957,3100,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,DESFA.,00/00/0000,['0804-G']
160844787/2016,TO-0842-M,27/12/1988,MERCEDES BENZ MB140,VSA63135013028786,2011,001,1,14/10/2016,2,JHD,21,MBM,14,JHD,16,JHD,17,DF.LEV,14/04/2017,['0901-L']
160844788/2016,TO-6659-AD,17/09/1999,CITROEN XSARA 1.9TD SX 5,VF7N1DHYF36685105,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,DF.LEV,14/10/2017,['0406-L']
160844789/2016,TO-0967-W,21/10/1994,OPEL CORSA,W0L000073S4011893,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,FAVOR.,14/10/2017,['']
160844790/2016,M-5584-VK,13/01/1998,VOLKSWAGEN SHARAN 1.9 TD,WVWZZZ7MZWV029029,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,DESFA.,00/00/0000,"['0402-L', '0402-G', '0803-G', '0901-L']"
160844791/2016,3496-FGH,04/10/2006,MAZDA 6,JMZGG12T671664076,1000,001,1,14/10/2016,1,MBM,14,VPS,12,JHD,17,ELL,22,DF.LEV,14/10/2017,['0901-L']
160844792/2016,M-8826-SB,20/01/1995,MERCEDES-BENZ E 300 D,WDB1241311J072902,1000,001,1,14/10/2016,2,MBM,14,VPS,16,JHD,17,VPS,21,FAVOR.,14/10/2017,['']
160844793/2016,TO-01905-R,04/11/1998,J.M. J.M. 2 VANS M,4533,4113,001,1,14/10/2016,2,MBM,14,VPS,18,,,,,FAVOR.,14/04/2017,['']
160844794/2016,GU-8714-I,13/06/2000,PEUGEOT 206,VF32AWJZT40986056,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,FAVOR.,14/10/2017,['']
160844795/2016,ET108593,10/04/2006,TT.URO MT-18.16.13/3-E,VS9R6GAE9C1009013,2211,001,1,14/10/2016,2,MBM,14,VPS,16,VPS,17,VPS,21,FAVOR.,14/04/2017,['']
160844796/2016,3334-FDF,24/07/2006,SEAT IBIZA,VSSZZZ6LZ6R556556,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,FAVOR.,14/10/2017,['']
160844797/2016,7313-CGL,03/04/2003,OPEL ASTRA-G-CC,W0L0TGF4835146053,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,DESFA.,00/00/0000,['0503-G']
160844798/2016,M-0479-XS,04/06/1999,CITROEN SAXO,VF7S0VJZF56853295,1000,002,2,14/10/2016,1,MBM,999,ELL,22,JHD,999,,,DF.LEV,14/10/2017,"['0202-L', '0209-L', '0407-L', '0601-L']"
160844799/2016,3438-GYW,29/09/2010,TOYOTA AVENSIS 2.0D WG A,SB1ED76L50E029117,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,FAVOR.,14/10/2018,['']
160844800/2016,TO-7794-J,11/02/1987,RENAULT 4,VS5237000H0103478,3100,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,DF.LEV,14/04/2017,"['0405-L', '0407-L']"
160844801/2016,177575,21/10/2005,MERCEDES BENZ VIANO CDI,WDF63971313177575,1002,014,1,14/10/2016,1,MBM,14,MBM,12,MBM,17,MBM,22,FAVOR.,14/10/2017,['']
160844802/2016,7313-CGL,03/04/2003,OPEL ASTRA-G-CC,W0L0TGF4835146053,1000,002,2,14/10/2016,1,MBM,999,,,,,,,FAVOR.,14/10/2017,['']
160844803/2016,4725-BVK,17/04/2002,PEUGEOT 406,VF38BRHYF81449321,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844804/2016,M-1717-WJ,29/07/1998,NISSAN PICK,JN1WYGY60U0876969,3133,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/04/2017,['']
160844805/2016,5481-CYN,23/07/2004,TOYOTA LAND CRUISER,JTEBZ29J300049887,1033,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,DF.LEV,14/10/2017,"['0406-L', '0603-L']"
160844806/2016,3926-BPC,31/10/2001,OPEL CORSA-C,W0L0XCF6814319524,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844807/2016,M-4939-LB,08/05/1990,RENAULT EXPRESS,VS5F40205L0502884,3100,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,DESFA.,00/00/0000,"['0601-L', '0804-G', '0901-L', '0903-L']"
160844808/2016,8652-HRX,02/07/2013,CITROEN C4PIHDI,VF7UD9HR8DJ627026,1001,002,2,14/10/2016,1,VPS,999,,,,,,,FAVOR.,02/07/2017,['']
160844809/2016,5263-GHK,11/09/2008,YAMAHA YZF-R6,JYARJ095000016247,0400,002,2,14/10/2016,1,MBM,999,,,,,,,FAVOR.,14/10/2018,['']
160844810/2016,9816-DXY,31/03/2006,CHEVROLET KALOS,KL1SF08TJ6B535178,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,DF.LEV,14/10/2017,['0406-L']
160844811/2016,4109-JTD,10/10/2016,NISSAN NAVARA,VSKCTND23U0036387,2011,002,2,14/10/2016,2,VPS,999,,,,,,,FAVOR.,14/10/2018,['']
160844812/2016,5615-GJK,06/11/2008,CHEVROLET EPICA,KL1LF69RJ8B127274,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2018,['']
160844813/2016,TO-3370-S,17/10/1991,CITROEN C 15 RD,VS7VDPG0056PG1560,3100,001,1,14/10/2016,1,MBM,14,VPS,17,JHD,12,ELL,22,DF.LEV,14/04/2017,"['0601-L', '0901-L']"
160844814/2016,M-8059-XS,11/06/1999,HONDA ACCORD,1HGCG2250XA601460,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844815/2016,0338-FPD,07/05/2007,SEAT TOLEDO,VSSZZZ5PZ7R059605,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,DF.LEV,07/05/2018,['0406-L']
160844816/2016,0610-FDG,25/07/2006,SUZUKI GSR600,JS1B9111100114997,0400,001,1,14/10/2016,1,MBM,14,JHD,18,MBM,13,,,FAVOR.,14/10/2018,['']
160844817/2016,TO-0875-Y,04/10/1996,HYUNDAI LANTRA,KMHJF31MPTU119743,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,DF.LEV,14/10/2017,['0103-L']
160844818/2016,4073-BNR,18/10/2001,FORD TRANSIT,WF0VXXBDFV1B72820,2400,002,2,14/10/2016,2,MBM,999,,,,,,,DF.LEV,14/04/2017,"['0103-L', '0202-L', '0202-L', '0212-L', '0401-L', '0901-L', '0903-L']"
160844819/2016,5511-DTJ,14/12/2005,RENAULT LAGUNA,VF1B56J0518304059,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,FAVOR.,14/10/2017,['']
160844820/2016,042621,04/02/2005,TOYOTA AVENSIS,SB1BJ56L40E042621,1000,014,1,14/10/2016,1,JHD,14,VPS,12,VPS,17,VPS,22,FAVOR.,14/10/2017,['']
160844821/2016,NA-5167-AU,23/10/1997,TOYOTA CELICA,JT164ATL000077333,1000,002,2,14/10/2016,1,JHD,999,ELL,22,,,,,DF.LEV,14/10/2017,['0601-L']
160844822/2016,5193-GHW,06/10/2008,TOYOTA PRIUS,JTDKB20U807819945,1000,001,1,14/10/2016,1,JHD,14,VPS,12,VPS,17,ELL,22,FAVOR.,14/10/2018,['']
160844823/2016,5383-DBP,11/10/2004,TOYOTA COROLLA,SB1KW28E00E061200,1000,001,1,14/10/2016,1,JHD,14,VPS,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844824/2016,0265-BYB,15/07/2002,CITROEN XSARA 2.0 HDI,VF7N1RHYB73614415,1000,001,1,14/10/2016,1,JHD,14,VPS,17,VPS,12,ELL,22,DESFA.,00/00/0000,"['0401-L', '0405-G']"
160844825/2016,8703-BNJ,28/09/2001,CHRYSLER GRAND VOYAGER,1C8GYN1762U504398,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844826/2016,8286-HCM,03/01/2005,MERCEDES-BENZ C 180 KOMP,WDB2030461A768851,1000,005,1,14/10/2016,1,VPS,999,VPS,24,,,,,FAVOR.,08/03/2017,['']
160844827/2016,7381-DGD,07/02/2005,RENAULT TRAFIC,VF1FLACA65Y082394,2420,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/04/2017,['']
160844828/2016,7934-FGV,24/10/2006,PEUGEOT 307,VF33C9HYC84620741,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,24/10/2017,['']
160844829/2016,TO-7324-AB,28/08/1998,RENAULT CLIO,VF1BB0E0E18590513,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,DF.LEV,14/10/2017,"['0401-L', '0603-L', '0901-L']"
160844830/2016,9867-CKC,02/07/2003,FORD TRANSIT,WF0LXXGBFL2G53210,2400,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/04/2017,['']
160844831/2016,7084-GXP,11/03/2005,OPEL COMBO C VAN,W0L0XCF2553034584,2400,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,DESFA.,00/00/0000,"['0803-G', '0803-G']"
160844832/2016,6515-CMY,21/10/2003,VOLKSWAGEN GOLF 1.9 TDI,WVWZZZ1JZ3B174403,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844833/2016,7270-DRN,14/10/2005,OPEL ASTRA GTC,W0L0AHL0865026435,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,DF.LEV,14/10/2017,"['0103-L', '0401-L']"
160844834/2016,4117-DJF,08/04/2005,OPEL CORSA C,W0L0XCF6854206598,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844835/2016,4454-CNS,14/11/2003,PEUGEOT 607,VF39D4HXG92104061,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844836/2016,0243-DLF,01/06/2005,SEAT LEON 1.9 TDI 6V,VSSZZZ1MZ5R077438,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844837/2016,4746-BMK,10/08/2001,OPEL ASTRA,W0L0TGF4818160997,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844838/2016,M-5724-XU,28/06/1999,SEAT IBIZA 1.4 5V 5P,VSSZZZ6KZXR400615,1000,001,1,14/10/2016,1,MBM,14,VPS,17,JHD,12,ELL,22,DF.LEV,14/10/2017,['0103-L']
160844839/2016,9219-DCB,27/10/2004,MAZDA 6,JMZGG14T201254714,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2017,['']
160844840/2016,9066-BGB,28/02/2001,PEUGEOT 206,VF32AWJYF41361636,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,DESFA.,00/00/0000,"['0202-L', '0205-G', '0302-G', '0405-L', '0406-L']"
160844841/2016,2191-CKL,11/07/2003,PEUGEOT 307,VF33CRHYB83046662,1000,002,2,14/10/2016,1,MBM,999,,,,,,,FAVOR.,14/10/2017,['']
160844842/2016,5331-CWW,08/06/2004,CITROEN JUMPER,VF7ZBAMRB17435096,3100,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/04/2017,['']
160844843/2016,3343-GYW,29/09/2010,AUDI AUDI A4,WAUZZZ8K3BA045810,1002,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2018,['']
160844844/2016,6112-FDK,28/07/2006,FORD FOCUS,WF0MXXGCDM5E56783,1000,001,1,14/10/2016,1,MBM,14,JHD,12,JHD,17,ELL,22,FAVOR.,14/10/2017,['']
160844845/2016,M-3407-ZT,19/07/2000,PEUGEOT 106 5P MAX,VF31AHFXF52565704,1000,002,2,14/10/2016,1,MBM,999,,,,,,,DESFA.,00/00/0000,['0502-G']
160844846/2016,7059-GZC,20/10/2010,VOLKSWAGEN GOLF BLUE MOT,WVWZZZ1KZBW071272,1000,001,1,14/10/2016,1,MBM,14,VPS,17,JHD,12,ELL,22,FAVOR.,14/10/2018,['']
160844847/2016,5449-GZD,22/10/2010,AUDI A3,WAUZZZ8P6AA180161,1000,001,1,14/10/2016,1,MBM,14,JHD,12,VPS,17,ELL,22,FAVOR.,14/10/2018,['']
